Name,Model,#Data,#Feat,Runtime
1069_bac,dt,562,36,0.0023419857025146484
1069_bac,sgd,562,36,0.0024251937866210938
1069_bac,dt,562,36,0.002287149429321289
1069_bac,sgd,562,36,0.002424001693725586
1069_bac,dt,562,36,0.001631021499633789
1069_bac,sgd,562,36,0.002399921417236328
1069_bac,dt,562,36,0.00226593017578125
1069_bac,sgd,562,36,0.0023670196533203125
1069_bac,dt,562,36,0.003480195999145508
1069_bac,sgd,562,36,0.0023910999298095703
1069_bac,dt,637,36,0.0035028457641601562
1069_bac,sgd,637,36,0.0026569366455078125
1069_bac,dt,637,36,0.0022749900817871094
1069_bac,sgd,637,36,0.0026040077209472656
1069_bac,dt,637,36,0.0022881031036376953
1069_bac,sgd,637,36,0.0025360584259033203
1069_bac,dt,637,36,0.0016951560974121094
1069_bac,sgd,637,36,0.0025072097778320312
1069_bac,dt,637,36,0.003030061721801758
1069_bac,sgd,637,36,0.002521038055419922
1069_bac,dt,637,36,0.002549886703491211
1069_bac,sgd,637,36,0.0026679039001464844
1069_bac,dt,637,36,0.0036242008209228516
1069_bac,sgd,637,36,0.0025479793548583984
1069_bac,dt,637,36,0.0017101764678955078
1069_bac,sgd,637,36,0.002516031265258789
1069_bac,dt,637,36,0.0024449825286865234
1069_bac,sgd,637,36,0.0025110244750976562
1069_bac,dt,637,36,0.003762960433959961
1069_bac,sgd,637,36,0.002496957778930664
1069_bac,dt,712,36,0.0038318634033203125
1069_bac,sgd,712,36,0.002688884735107422
1069_bac,dt,712,36,0.0024368762969970703
1069_bac,sgd,712,36,0.0027768611907958984
1069_bac,dt,712,36,0.002460002899169922
1069_bac,sgd,712,36,0.0026578903198242188
1069_bac,dt,712,36,0.001789093017578125
1069_bac,sgd,712,36,0.002725839614868164
1069_bac,dt,712,36,0.0032629966735839844
1069_bac,sgd,712,36,0.002708911895751953
1069_bac,dt,712,36,0.00267791748046875
1069_bac,sgd,712,36,0.002749919891357422
1069_bac,dt,712,36,0.003245115280151367
1069_bac,sgd,712,36,0.002794981002807617
1069_bac,dt,712,36,0.0018420219421386719
1069_bac,sgd,712,36,0.0027420520782470703
1069_bac,dt,712,36,0.002627134323120117
1069_bac,sgd,712,36,0.002707958221435547
1069_bac,dt,712,36,0.004004955291748047
1069_bac,sgd,712,36,0.002724885940551758
1069_bac,dt,787,36,0.0041351318359375
1069_bac,sgd,787,36,0.002880096435546875
1069_bac,dt,787,36,0.0025739669799804688
1069_bac,sgd,787,36,0.002805948257446289
1069_bac,dt,787,36,0.002624034881591797
1069_bac,sgd,787,36,0.0028619766235351562
1069_bac,dt,787,36,0.001917123794555664
1069_bac,sgd,787,36,0.002830028533935547
1069_bac,dt,787,36,0.003556966781616211
1069_bac,sgd,787,36,0.0029730796813964844
1069_bac,dt,787,36,0.002907991409301758
1069_bac,sgd,787,36,0.0028839111328125
1069_bac,dt,787,36,0.003782987594604492
1069_bac,sgd,787,36,0.0028519630432128906
1069_bac,dt,787,36,0.0019600391387939453
1069_bac,sgd,787,36,0.0029850006103515625
1069_bac,dt,787,36,0.003496885299682617
1069_bac,sgd,787,36,0.00286102294921875
1069_bac,dt,787,36,0.004395961761474609
1069_bac,sgd,787,36,0.0027849674224853516
1069_bac,dt,862,36,0.004500865936279297
1069_bac,sgd,862,36,0.003119945526123047
1069_bac,dt,862,36,0.002727985382080078
1069_bac,sgd,862,36,0.003074169158935547
1069_bac,dt,862,36,0.002789020538330078
1069_bac,sgd,862,36,0.0030219554901123047
1069_bac,dt,862,36,0.0020198822021484375
1069_bac,sgd,862,36,0.002955913543701172
1069_bac,dt,862,36,0.004567146301269531
1069_bac,sgd,862,36,0.003036022186279297
1069_bac,dt,862,36,0.0029859542846679688
1069_bac,sgd,862,36,0.0029740333557128906
1069_bac,dt,862,36,0.004472970962524414
1069_bac,sgd,862,36,0.0030641555786132812
1069_bac,dt,862,36,0.0019497871398925781
1069_bac,sgd,862,36,0.003010988235473633
1069_bac,dt,862,36,0.0030488967895507812
1069_bac,sgd,862,36,0.002969026565551758
1069_bac,dt,862,36,0.004660129547119141
1069_bac,sgd,862,36,0.003030061721801758
1069_bac,dt,936,36,0.005640983581542969
1069_bac,sgd,936,36,0.0031468868255615234
1069_bac,dt,936,36,0.0029349327087402344
1069_bac,sgd,936,36,0.003659963607788086
1069_bac,dt,936,36,0.003815889358520508
1069_bac,sgd,936,36,0.00321197509765625
1069_bac,dt,936,36,0.002109050750732422
1069_bac,sgd,936,36,0.003122091293334961
1069_bac,dt,936,36,0.0048100948333740234
1069_bac,sgd,936,36,0.0032100677490234375
1069_bac,dt,936,36,0.00321197509765625
1069_bac,sgd,936,36,0.003220081329345703
1069_bac,dt,936,36,0.004947185516357422
1069_bac,sgd,936,36,0.003178834915161133
1069_bac,dt,936,36,0.0021228790283203125
1069_bac,sgd,936,36,0.003123044967651367
1069_bac,dt,936,36,0.0038979053497314453
1069_bac,sgd,936,36,0.0031981468200683594
1069_bac,dt,936,36,0.004907131195068359
1069_bac,sgd,936,36,0.0031201839447021484
1069_bac,dt,1011,36,0.005972862243652344
1069_bac,sgd,1011,36,0.003386974334716797
1069_bac,dt,1011,36,0.0039920806884765625
1069_bac,sgd,1011,36,0.0034019947052001953
1069_bac,dt,1011,36,0.004010915756225586
1069_bac,sgd,1011,36,0.0033969879150390625
1069_bac,dt,1011,36,0.0022139549255371094
1069_bac,sgd,1011,36,0.003325939178466797
1069_bac,dt,1011,36,0.005115985870361328
1069_bac,sgd,1011,36,0.003371000289916992
1069_bac,dt,1011,36,0.003434896469116211
1069_bac,sgd,1011,36,0.003515958786010742
1069_bac,dt,1011,36,0.0051348209381103516
1069_bac,sgd,1011,36,0.00337982177734375
1069_bac,dt,1011,36,0.002157926559448242
1069_bac,sgd,1011,36,0.0033419132232666016
1069_bac,dt,1011,36,0.003361940383911133
1069_bac,sgd,1011,36,0.0033600330352783203
1069_bac,dt,1011,36,0.005309104919433594
1069_bac,sgd,1011,36,0.0034639835357666016
1069_bac,dt,1086,36,0.006318092346191406
1069_bac,sgd,1086,36,0.0034999847412109375
1069_bac,dt,1086,36,0.005182027816772461
1069_bac,sgd,1086,36,0.0034990310668945312
1069_bac,dt,1086,36,0.0042989253997802734
1069_bac,sgd,1086,36,0.0034830570220947266
1069_bac,dt,1086,36,0.0023469924926757812
1069_bac,sgd,1086,36,0.003612995147705078
1069_bac,dt,1086,36,0.005431175231933594
1069_bac,sgd,1086,36,0.0035529136657714844
