,Dimensons,Dimensons,a + bKN^2(log(N)),a + bKN^2(log(N)),a + bKN^2(log(N)),a + bKN^2(log(N))
,N,K,true,pred.,%diff,%uncertainity
923_bac__rf,5732.0,5.0,0.033,0.09101365945637507,175.79896804962144,8.635821384444323
930_bac__rf,864.0,83.0,0.0277,0.053881947149426304,94.51966479937295,62.69537679882339
934_bac__rf,767.0,39.0,0.016,0.02034546488460901,27.159155528806323,10.523401005801652
953_bac__rf,2116.0,285.0,0.0444,0.11500032314488044,159.00973681279376,5.745939016468848
958_bac__rf,1532.0,19.0,0.0232,0.043536272101035,87.6563452630819,5.364143745115361
959_bac__rf,8597.0,27.0,0.0363,0.10401134325973516,186.53262605987646,10.902929275241446
962_bac__rf,1327.0,6.0,0.017,0.02467025882148719,45.11916953815994,4.5753804806229885
966_bac__rf,889.0,22.0,0.0208,0.04141789535404371,99.12449689444091,104.05491205108017
971_bac__rf,1327.0,76.0,0.0442,0.08467574603764419,91.57408605801852,5.661707650373569
976_bac__rf,6607.0,14.0,0.1207,0.35215337355893184,191.75921587318297,7.00697903132812
977_bac__rf,13266.0,16.0,0.0894,0.27603377572953963,208.76261267286316,8.958749353445794
978_bac__rf,1327.0,216.0,0.0481,0.09819059617469283,104.13845358564,8.540854469241264
979_bac__rf,3317.0,40.0,0.1239,0.3740689091771601,201.91195252393877,5.947394402212671
980_bac__rf,3728.0,64.0,0.0452,0.12875975933931572,184.86672420202595,7.618625475934351
991_bac__rf,1146.0,21.0,0.016,0.029976632311213825,87.35395194508641,114.17000770974447
993_bac__rf,4655.0,664.0,0.1105,0.31539846963410934,185.42847930688626,14.236391480883043
995_bac__rf,1327.0,47.0,0.0407,0.07749568378958974,90.40708547810746,6.392926195134223
